k.Name,Sword,Shield,Buff,Description,d.DamageRate,foo0,foo1,foo2,foo3,foo4,foo5,foo6,foo7
class_18,sword_18,shield_18,buff_18,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_19,sword_19,shield_19,buff_19,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_20,sword_20,shield_20,buff_20,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_21,sword_21,shield_21,buff_21,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_22,sword_22,shield_22,buff_22,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_23,sword_23,shield_23,buff_23,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_24,sword_24,shield_24,buff_24,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_25,sword_25,shield_25,buff_25,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_26,sword_26,shield_26,buff_26,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_27,sword_27,shield_27,buff_27,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_28,sword_28,shield_28,buff_28,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_29,sword_29,shield_29,buff_29,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_30,sword_30,shield_30,buff_30,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_31,sword_31,shield_31,buff_31,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_32,sword_32,shield_32,buff_32,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_33,sword_33,shield_33,buff_33,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_34,sword_34,shield_34,buff_34,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_35,sword_35,shield_35,buff_35,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_36,sword_36,shield_36,buff_36,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_37,sword_37,shield_37,buff_37,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_38,sword_38,shield_38,buff_38,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_39,sword_39,shield_39,buff_39,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_40,sword_40,shield_40,buff_40,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_41,sword_41,shield_41,buff_41,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_42,sword_42,shield_42,buff_42,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_43,sword_43,shield_43,buff_43,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_44,sword_44,shield_44,buff_44,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_45,sword_45,shield_45,buff_45,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_46,sword_46,shield_46,buff_46,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_47,sword_47,shield_47,buff_47,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_48,sword_48,shield_48,buff_48,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_49,sword_49,shield_49,buff_49,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_50,sword_50,shield_50,buff_50,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_51,sword_51,shield_51,buff_51,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_52,sword_52,shield_52,buff_52,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_53,sword_53,shield_53,buff_53,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_54,sword_54,shield_54,buff_54,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_55,sword_55,shield_55,buff_55,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_56,sword_56,shield_56,buff_56,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_57,sword_57,shield_57,buff_57,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_58,sword_58,shield_58,buff_58,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_59,sword_59,shield_59,buff_59,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_60,sword_60,shield_60,buff_60,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_61,sword_61,shield_61,buff_61,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_62,sword_62,shield_62,buff_62,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_63,sword_63,shield_63,buff_63,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_64,sword_64,shield_64,buff_64,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_65,sword_65,shield_65,buff_65,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_66,sword_66,shield_66,buff_66,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_67,sword_67,shield_67,buff_67,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_68,sword_68,shield_68,buff_68,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_69,sword_69,shield_69,buff_69,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_70,sword_70,shield_70,buff_70,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_71,sword_71,shield_71,buff_71,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_72,sword_72,shield_72,buff_72,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_73,sword_73,shield_73,buff_73,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_74,sword_74,shield_74,buff_74,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_75,sword_75,shield_75,buff_75,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_76,sword_76,shield_76,buff_76,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_77,sword_77,shield_77,buff_77,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_78,sword_78,shield_78,buff_78,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_79,sword_79,shield_79,buff_79,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_80,sword_80,shield_80,buff_80,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_81,sword_81,shield_81,buff_81,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_82,sword_82,shield_82,buff_82,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_83,sword_83,shield_83,buff_83,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_84,sword_84,shield_84,buff_84,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_85,sword_85,shield_85,buff_85,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_86,sword_86,shield_86,buff_86,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_87,sword_87,shield_87,buff_87,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_88,sword_88,shield_88,buff_88,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_89,sword_89,shield_89,buff_89,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_90,sword_90,shield_90,buff_90,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_91,sword_91,shield_91,buff_91,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_92,sword_92,shield_92,buff_92,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_93,sword_93,shield_93,buff_93,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_94,sword_94,shield_94,buff_94,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_95,sword_95,shield_95,buff_95,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_96,sword_96,shield_96,buff_96,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_97,sword_97,shield_97,buff_97,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_98,sword_98,shield_98,buff_98,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_99,sword_99,shield_99,buff_99,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_100,sword_100,shield_100,buff_100,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_101,sword_101,shield_101,buff_101,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_102,sword_102,shield_102,buff_102,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_103,sword_103,shield_103,buff_103,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_104,sword_104,shield_104,buff_104,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_105,sword_105,shield_105,buff_105,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_106,sword_106,shield_106,buff_106,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_107,sword_107,shield_107,buff_107,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_108,sword_108,shield_108,buff_108,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_109,sword_109,shield_109,buff_109,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_110,sword_110,shield_110,buff_110,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_111,sword_111,shield_111,buff_111,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_112,sword_112,shield_112,buff_112,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_113,sword_113,shield_113,buff_113,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_114,sword_114,shield_114,buff_114,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_115,sword_115,shield_115,buff_115,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_116,sword_116,shield_116,buff_116,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_117,sword_117,shield_117,buff_117,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_118,sword_118,shield_118,buff_118,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_119,sword_119,shield_119,buff_119,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_120,sword_120,shield_120,buff_120,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_121,sword_121,shield_121,buff_121,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_122,sword_122,shield_122,buff_122,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_123,sword_123,shield_123,buff_123,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_124,sword_124,shield_124,buff_124,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_125,sword_125,shield_125,buff_125,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_126,sword_126,shield_126,buff_126,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_127,sword_127,shield_127,buff_127,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_128,sword_128,shield_128,buff_128,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_129,sword_129,shield_129,buff_129,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_130,sword_130,shield_130,buff_130,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_131,sword_131,shield_131,buff_131,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_132,sword_132,shield_132,buff_132,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_133,sword_133,shield_133,buff_133,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_134,sword_134,shield_134,buff_134,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_135,sword_135,shield_135,buff_135,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_136,sword_136,shield_136,buff_136,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_137,sword_137,shield_137,buff_137,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_138,sword_138,shield_138,buff_138,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_139,sword_139,shield_139,buff_139,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_140,sword_140,shield_140,buff_140,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_141,sword_141,shield_141,buff_141,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_142,sword_142,shield_142,buff_142,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_143,sword_143,shield_143,buff_143,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_144,sword_144,shield_144,buff_144,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_145,sword_145,shield_145,buff_145,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_146,sword_146,shield_146,buff_146,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_147,sword_147,shield_147,buff_147,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_148,sword_148,shield_148,buff_148,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_149,sword_149,shield_149,buff_149,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_150,sword_150,shield_150,buff_150,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_151,sword_151,shield_151,buff_151,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_152,sword_152,shield_152,buff_152,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_153,sword_153,shield_153,buff_153,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_154,sword_154,shield_154,buff_154,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_155,sword_155,shield_155,buff_155,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_156,sword_156,shield_156,buff_156,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_157,sword_157,shield_157,buff_157,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_158,sword_158,shield_158,buff_158,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_159,sword_159,shield_159,buff_159,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_160,sword_160,shield_160,buff_160,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_161,sword_161,shield_161,buff_161,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_162,sword_162,shield_162,buff_162,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_163,sword_163,shield_163,buff_163,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_164,sword_164,shield_164,buff_164,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_165,sword_165,shield_165,buff_165,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_166,sword_166,shield_166,buff_166,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_167,sword_167,shield_167,buff_167,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_168,sword_168,shield_168,buff_168,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_169,sword_169,shield_169,buff_169,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_170,sword_170,shield_170,buff_170,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_171,sword_171,shield_171,buff_171,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_172,sword_172,shield_172,buff_172,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_173,sword_173,shield_173,buff_173,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_174,sword_174,shield_174,buff_174,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_175,sword_175,shield_175,buff_175,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_176,sword_176,shield_176,buff_176,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_177,sword_177,shield_177,buff_177,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_178,sword_178,shield_178,buff_178,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_179,sword_179,shield_179,buff_179,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_180,sword_180,shield_180,buff_180,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_181,sword_181,shield_181,buff_181,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_182,sword_182,shield_182,buff_182,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_183,sword_183,shield_183,buff_183,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_184,sword_184,shield_184,buff_184,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_185,sword_185,shield_185,buff_185,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_186,sword_186,shield_186,buff_186,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_187,sword_187,shield_187,buff_187,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_188,sword_188,shield_188,buff_188,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_189,sword_189,shield_189,buff_189,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_190,sword_190,shield_190,buff_190,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_191,sword_191,shield_191,buff_191,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_192,sword_192,shield_192,buff_192,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_193,sword_193,shield_193,buff_193,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_194,sword_194,shield_194,buff_194,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_195,sword_195,shield_195,buff_195,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_196,sword_196,shield_196,buff_196,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_197,sword_197,shield_197,buff_197,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_198,sword_198,shield_198,buff_198,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_199,sword_199,shield_199,buff_199,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_200,sword_200,shield_200,buff_200,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_201,sword_201,shield_201,buff_201,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_202,sword_202,shield_202,buff_202,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_203,sword_203,shield_203,buff_203,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_204,sword_204,shield_204,buff_204,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_205,sword_205,shield_205,buff_205,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_206,sword_206,shield_206,buff_206,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_207,sword_207,shield_207,buff_207,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_208,sword_208,shield_208,buff_208,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_209,sword_209,shield_209,buff_209,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_210,sword_210,shield_210,buff_210,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_211,sword_211,shield_211,buff_211,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_212,sword_212,shield_212,buff_212,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_213,sword_213,shield_213,buff_213,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_214,sword_214,shield_214,buff_214,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_215,sword_215,shield_215,buff_215,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
